#======================================================================================
# Kingdomino AI Experiment
#--------------------------------------------------------------------------------------
# 
# Player strategy:   UCTW_FG_C0_6_W0_3
# Opponent strategy: FULL_GREEDY
# 
# Max search time: 2.0 (s)
# Max playouts: 0
# Runs: 200
# 
# System: Linux 3.20GHz
# Output file: kdom_exp-20180222-214839-rev-1989901-cpu-3.20GHz/kdom_exp_UCTW_FG_C0_6_W0_3_vs_FULL_GREEDY_G200_T2.0_P0.dat
# 
# Executing: 'java -jar out/kdom-exp.jar UCTW_FG_C0_6_W0_3 FULL_GREEDY 2.0 0 kdom_exp-20180222-214839-rev-1989901-cpu-3.20GHz/kdom_exp_UCTW_FG_C0_6_W0_3_vs_FULL_GREEDY_G200_T2.0_P0.tmp'
# Git Revision: 1989901
#--------------------------------------------------------------------------------------
#
# win, score, num_players, available_moves(13), available_draft(13), chosen_draft_position(13), playouts_per_second(13), scores(13), score_diff, opponent_scores(3)
1 55 4 3 48 88 80 63 32 51 26 8 11 2 4 1 3 2 4 4 3 2 3 2 4 1 1 2 0 3 1 1 2 3 2 3 1 4 4 3 4 0 25.6 27.3 34.0 54.9 97.6 142.3 260.9 631.3 854.6 3772.4 255725.2 829689.3 2489163.8 10 10 11 13 8 9 16 25 25 31 35 44 55 1 33 54 51
-1 38 4 4 24 84 116 40 112 84 30 32 2 24 16 1 4 1 4 4 2 4 4 3 4 1 4 4 0 4 1 1 3 1 1 2 1 4 1 1 1 0 25.7 32.0 31.9 42.7 100.5 115.6 216.0 413.2 780.3 5254.3 5938.5 253058.3 1428158.4 10 11 11 14 15 15 15 18 22 25 29 33 38 -49 87 58 63
1 61 4 1 72 42 104 17 72 56 42 24 18 12 6 1 1 3 2 4 1 4 4 3 3 3 3 3 0 2 3 1 4 1 1 2 2 2 2 2 4 0 27.2 30.6 35.2 38.6 81.2 88.8 124.8 300.5 605.5 1586.1 7641.4 337649.4 2578887.1 10 10 11 11 15 17 21 25 42 45 48 54 61 8 45 53 45
-1 42 4 1 96 32 40 40 42 72 48 32 21 12 2 2 1 4 2 4 2 3 4 3 4 3 3 2 0 1 3 1 3 2 1 2 1 2 2 3 2 0 23.7 28.9 43.4 54.9 76.4 106.7 154.3 372.6 578.0 2468.8 7903.6 613361.1 1709214.0 10 10 11 11 2 7 8 10 12 22 31 31 42 -11 47 53 49
0 56 4 3 96 81 64 120 42 38 12 27 12 6 1 2 3 4 3 4 4 3 2 3 3 3 1 1 0 1 2 1 1 2 3 2 2 2 4 4 2 0 29.9 35.5 41.6 55.5 99.8 145.1 272.3 461.6 927.4 3804.6 233600.0 1202882.2 1603447.5 10 10 12 12 14 14 20 21 26 28 40 43 56 0 40 56 56
1 54 4 1 96 144 72 120 17 33 14 4 24 12 2 2 1 4 4 4 4 1 3 2 2 4 2 2 0 1 1 1 1 4 2 3 3 1 3 3 3 0 28.0 32.6 37.6 59.8 82.2 195.2 229.5 543.7 1446.8 2062.1 115398.0 451408.8 1562149.3 10 10 10 10 13 17 18 22 24 26 37 37 54 3 40 51 40
1 59 4 4 96 72 54 36 40 36 30 18 14 24 6 2 4 4 4 3 2 4 3 3 3 2 4 2 0 1 1 2 3 1 2 2 2 3 1 3 3 0 27.8 39.2 43.0 68.9 119.4 138.3 247.2 436.6 930.3 3553.9 6016.8 548220.8 1773558.2 10 10 10 12 13 13 16 24 27 29 33 46 59 11 43 48 41
1 67 4 2 72 21 54 72 34 18 33 42 16 8 8 1 2 3 1 3 4 2 1 3 3 4 2 4 0 2 4 2 1 3 4 2 2 1 3 1 2 0 24.4 30.6 41.4 56.6 66.0 130.4 254.2 390.7 835.3 2179.7 109117.6 290249.9 1393958.8 10 10 11 11 13 15 24 24 33 39 52 60 67 3 41 64 55
-1 29 4 1 96 108 102 8 48 24 32 6 10 8 8 1 1 4 4 3 1 4 2 4 1 2 4 4 0 1 1 2 4 1 3 1 4 3 1 1 3 0 27.3 29.8 44.5 67.6 107.9 111.5 248.4 360.6 1629.0 5437.4 18108.5 378677.7 2110611.1 10 10 10 10 12 12 13 17 19 25 25 29 29 -38 42 56 67
1 57 4 1 48 48 32 36 40 72 30 40 28 12 5 1 1 2 3 4 2 2 4 3 4 4 2 1 0 3 2 1 3 3 1 2 1 1 3 4 1 0 23.7 29.8 39.7 50.5 101.9 179.8 193.9 461.4 619.4 1354.3 146357.6 693739.9 1141805.0 10 10 10 10 12 14 14 18 18 24 36 42 57 9 36 30 48
