#======================================================================================
# Kingdomino AI Experiment
#--------------------------------------------------------------------------------------
# 
# Player strategy:   UCT_TR_C02
# Opponent strategy: FULL_GREEDY
# 
# Max search time: 2 (s)
# Max playouts: 0
# Runs: 20
# 
# System: Mac 2.70GHz
# Output file: kdom_exp-20180112-115628-rev-9542014-cpu-2.70GHz/kdom_exp_UCT_TR_C02_vs_FULL_GREEDY_T2_P0.dat
# 
# Executing: 'java -jar out/kdom-exp.jar UCT_TR_C02 FULL_GREEDY 2 0 kdom_exp-20180112-115628-rev-9542014-cpu-2.70GHz/kdom_exp_UCT_TR_C02_vs_FULL_GREEDY_T2_P0.tmp'
# Git Revision: 9542014
#--------------------------------------------------------------------------------------
#
# win, score, num_players, available_moves(13), available_draft(13), chosen_draft_position(13), playouts_per_second(13), scores(13), score_diff, opponent_scores(3)
-1 50 4 2 72 54 48 72 7 16 2 5 4 6 8 2 2 3 3 2 4 1 4 1 1 4 1 4 0 2 2 3 1 4 1 4 4 1 4 1 2 0 3927.7 5550.0 5489.7 8308.0 8862.2 12866.8 12573.3 16915.2 21594.3 23177.7 308472.2 583032.2 1678345.8 10 10 11 12 14 18 18 26 42 42 46 48 50 -13 63 57 43
-1 51 4 2 72 18 72 15 72 6 12 10 12 1 16 1 2 3 1 4 1 4 1 2 2 3 1 4 0 2 4 1 4 1 4 3 3 2 4 1 3 0 4120.4 5413.9 6087.1 7515.8 10011.8 10181.3 12938.1 18464.4 22981.3 26340.2 397688.6 394549.0 2367120.6 10 10 11 11 14 14 16 21 26 30 40 40 51 -13 47 64 56
1 53 4 4 48 72 24 30 36 36 12 32 12 6 2 2 4 2 4 2 3 3 4 3 4 2 3 2 0 3 1 3 2 2 1 2 1 3 2 3 2 0 4117.8 5605.3 5500.0 8286.6 8875.5 10077.7 10830.7 15652.6 16965.3 65691.4 282942.3 933801.4 1637282.2 10 10 10 11 12 13 18 21 25 34 42 45 53 3 50 36 47
1 71 4 2 72 54 31 136 24 40 4 9 1 24 8 1 2 3 2 1 4 1 4 1 3 1 4 2 0 2 3 4 1 4 1 4 2 4 1 3 2 0 4060.2 5422.2 5542.9 7910.2 7963.4 11404.5 11762.7 20103.8 20908.7 254882.6 280921.4 698623.2 1571037.6 10 10 13 16 18 26 28 30 36 40 42 53 71 15 47 56 38
1 47 4 3 72 36 48 22 40 52 4 48 24 4 6 1 3 3 2 4 1 4 4 1 4 3 1 3 0 2 3 1 4 1 1 4 1 2 4 2 4 0 4078.0 5509.7 5833.5 7571.2 9659.2 9938.6 10511.5 15999.8 16012.4 21749.6 613074.3 895529.9 2789393.4 10 10 11 11 17 17 21 25 25 30 33 38 47 1 46 42 28
-1 53 4 2 96 54 16 24 16 32 5 4 3 4 2 1 2 4 3 1 4 2 4 1 4 1 4 2 0 1 2 4 1 3 1 4 1 4 1 3 1 0 3742.2 5179.7 5725.9 8488.3 8657.2 11946.7 12206.5 17954.0 18387.2 226248.0 81732.3 875740.0 1660975.1 10 10 11 13 13 16 16 28 30 42 42 53 53 -18 52 71 51
1 74 4 2 72 44 80 75 56 12 32 40 18 4 8 1 2 3 2 4 3 4 1 4 4 3 2 4 0 2 3 1 2 1 4 1 1 2 3 1 2 0 4243.9 5428.2 6016.5 7592.9 9154.4 9636.4 14329.2 13955.9 18475.4 25022.0 349525.7 420914.7 1253591.8 10 11 12 14 16 20 25 28 34 43 54 56 74 6 45 58 68
1 63 4 3 48 116 63 54 7 24 5 40 12 4 2 1 3 2 4 3 3 1 2 1 4 2 2 1 0 3 1 2 2 4 3 4 1 3 3 4 4 0 4138.2 5616.5 5318.4 7839.9 8869.1 12999.8 14145.3 20193.0 19393.3 53699.8 450001.4 1183433.6 2523825.9 10 11 14 17 18 22 29 34 38 48 51 56 63 10 53 49 46
1 72 4 2 72 104 24 40 48 9 4 8 36 3 8 1 2 3 4 1 4 4 1 4 1 4 1 2 0 2 1 4 1 1 4 1 4 1 4 3 4 0 4196.2 5170.1 5132.4 8634.0 8567.2 9723.8 14191.3 15611.9 22218.1 21877.4 450209.2 769129.5 2660897.3 10 11 13 16 16 18 25 25 32 32 43 54 72 12 60 35 43
-1 37 4 1 96 44 20 15 36 11 56 8 24 8 2 1 1 4 2 1 1 3 1 4 1 4 2 1 0 1 3 4 4 2 4 1 4 1 3 4 2 0 4308.9 5414.0 5705.2 8300.8 9792.3 10470.6 13996.0 14069.0 34007.4 29518.4 297265.7 930017.1 1206549.7 10 10 11 12 17 18 27 27 31 31 35 37 37 -23 52 60 26
