#======================================================================================
# Kingdomino AI Experiment
#--------------------------------------------------------------------------------------
# 
# Player strategy:   UCT_TR_C0_6
# Opponent strategy: FULL_GREEDY
# 
# Max search time: 10 (s)
# Max playouts: 0
# Runs: 200
# 
# System: Linux 3.20GHz
# Output file: kdom_exp-20180226-134616-rev-16285e2-cpu-3.20GHz/kdom_exp_UCT_TR_C0_6_vs_FULL_GREEDY_G200_T10_P0.dat
# 
# Executing: 'java -jar out/kdom-exp.jar UCT_TR_C0_6 FULL_GREEDY 10 0 kdom_exp-20180226-134616-rev-16285e2-cpu-3.20GHz/kdom_exp_UCT_TR_C0_6_vs_FULL_GREEDY_G200_T10_P0.tmp'
# Git Revision: 16285e2
#--------------------------------------------------------------------------------------
#
# win, score, num_players, available_moves(13), available_draft(13), chosen_draft_position(13), playouts_per_second(13), scores(13), score_diff, opponent_scores(3)
1 59 4 4 48 54 48 19 24 20 27 4 24 9 2 1 4 2 3 2 1 4 2 3 1 4 3 1 0 3 2 3 4 1 3 2 4 1 2 4 1 0 5221.0 5963.0 6638.2 7370.2 9224.9 9365.3 10958.1 12106.0 16428.1 16847.1 37311.7 1047793.4 1296221.1 10 11 11 14 24 24 31 40 45 45 55 59 59 5 46 38 54
1 59 4 4 96 62 48 12 20 32 18 15 15 4 8 1 4 4 2 4 2 2 4 2 3 3 2 4 0 1 3 1 3 3 1 3 2 2 3 1 2 0 5025.0 5392.7 6523.2 6883.4 8294.6 10150.9 10741.9 13702.0 19168.9 114224.5 256252.3 374687.0 1300285.1 10 10 11 11 13 16 16 21 31 34 39 45 59 8 41 51 47
1 70 4 1 96 22 112 90 46 36 2 30 12 10 8 1 1 4 1 4 3 2 3 1 3 3 2 4 0 1 4 1 2 3 2 4 2 2 3 1 4 0 5183.0 5388.2 6632.9 6730.8 7663.4 9581.5 10330.3 13399.2 15234.1 20958.6 181032.9 415486.8 2590567.2 10 11 12 14 22 23 35 38 42 46 59 63 70 17 50 20 53
-1 44 4 1 96 36 32 36 10 26 56 36 10 4 9 1 1 4 2 2 3 1 2 4 4 2 4 3 0 1 3 3 2 4 3 1 1 3 1 2 1 0 5449.6 5845.5 7039.2 8148.2 8709.5 10694.5 11809.6 13171.5 18019.9 133217.9 96586.5 437643.7 1370991.9 10 10 11 11 12 18 20 20 26 34 34 44 44 -10 48 54 54
1 64 4 4 72 44 112 34 72 12 40 15 32 4 12 1 4 3 2 4 2 4 2 4 3 4 1 4 0 2 3 1 3 1 3 1 2 1 4 1 4 0 5254.7 5843.6 7098.6 7407.9 8769.2 9069.3 11374.1 12330.7 15631.4 17814.2 166580.9 229270.0 2418451.1 10 11 12 14 15 15 22 24 31 39 49 53 64 14 45 45 50
1 63 4 3 96 18 48 10 36 28 20 15 4 16 1 1 3 4 1 4 1 2 2 2 3 1 4 1 0 1 4 1 4 3 3 3 2 4 1 4 4 0 5253.1 5659.8 6926.4 6974.5 9264.8 10001.1 12135.8 13849.6 18000.8 162231.9 137085.5 1420529.5 2537308.9 10 10 12 12 20 20 23 30 32 51 51 63 63 6 57 57 46
1 57 4 4 24 66 100 42 10 56 21 40 7 6 9 1 4 1 3 4 3 1 4 3 4 1 3 3 0 4 2 1 2 4 1 2 1 4 2 2 4 0 5330.0 6100.7 6648.5 6961.5 8669.4 10884.4 11210.3 13863.6 15668.1 25908.3 38622.3 372616.1 2452824.1 10 13 14 15 16 21 26 43 49 54 54 57 57 4 53 48 42
1 78 4 4 24 104 24 25 60 33 40 4 18 4 2 1 4 1 4 1 1 4 3 4 1 3 2 1 0 4 1 4 4 1 2 1 4 2 3 4 4 0 5130.5 6201.7 6364.4 7631.8 8674.3 8727.9 11384.7 12975.6 23657.5 25542.4 271118.8 1079383.8 2428622.1 10 11 11 14 21 21 27 29 40 42 44 59 78 2 59 65 76
-1 39 4 1 96 18 48 21 68 18 10 8 12 3 6 1 1 4 1 3 1 4 2 2 4 3 1 3 0 1 4 2 4 1 3 3 1 2 4 2 1 0 5122.3 5656.4 6959.6 7447.4 9014.0 8910.8 12437.3 15001.7 17135.3 29137.4 418488.8 616512.2 1610481.5 10 10 12 12 14 14 19 25 25 29 33 33 39 -25 38 59 64
1 63 4 1 72 66 18 24 7 44 6 4 16 18 16 1 1 3 3 1 4 1 4 1 1 4 3 4 0 2 2 4 1 4 1 4 4 1 2 1 4 0 5154.4 5880.6 6519.2 8319.1 8365.2 10906.2 10620.0 16115.3 25171.9 26157.6 60756.6 489396.3 2536021.8 10 11 12 14 14 20 20 35 48 48 52 56 63 1 48 62 44
-1 40 4 3 96 18 80 16 24 40 6 18 6 8 8 1 3 4 1 4 1 2 4 1 3 1 4 4 0 1 4 1 4 3 1 4 2 4 1 1 2 0 5384.3 5611.1 6768.7 6816.1 8581.5 10022.4 10350.5 15374.2 16729.6 24457.2 26911.7 417169.8 1791030.2 10 10 10 11 17 18 18 22 22 37 38 40 40 -40 74 80 43
1 66 4 4 48 66 16 80 13 44 14 20 24 2 4 2 4 2 3 1 4 1 4 2 2 4 1 2 0 3 2 4 1 4 1 3 3 1 4 3 1 0 5212.7 5952.4 6604.4 8041.6 8206.7 10433.8 10830.6 14778.2 18420.3 23071.6 398096.8 843679.9 1317188.5 10 11 12 14 14 17 20 29 37 39 55 59 66 7 46 35 59
-1 56 4 3 96 62 12 56 72 11 30 11 32 10 8 2 3 4 2 1 4 4 1 3 1 4 2 2 0 1 3 4 1 1 4 2 4 1 3 3 3 0 5195.0 5469.5 6637.2 7589.5 7823.9 8756.0 11510.6 12545.1 17440.9 18544.5 156687.0 687370.6 1451495.9 10 10 11 12 14 21 23 23 27 27 38 42 56 -27 83 42 37
1 54 4 4 24 72 24 24 33 20 27 8 7 2 8 1 4 1 4 1 4 3 2 3 2 1 1 4 0 4 1 4 1 2 3 2 3 4 4 1 4 0 5349.2 6368.7 6491.2 7801.0 8192.9 9202.5 12071.4 13642.7 18467.4 42146.1 417897.0 443754.7 2372418.6 10 12 12 13 13 18 19 24 30 33 41 45 54 2 52 48 49
