#======================================================================================
# Kingdomino AI Experiment
#--------------------------------------------------------------------------------------
# 
# Player strategy:   UCT_PG_C0_6
# Opponent strategy: FULL_GREEDY
# 
# Max search time: 1 (s)
# Max playouts: 0
# Runs: 200
# 
# System: Linux 3.20GHz
# Output file: kdom_exp-20180226-134616-rev-16285e2-cpu-3.20GHz/kdom_exp_UCT_PG_C0_6_vs_FULL_GREEDY_G200_T1_P0.dat
# 
# Executing: 'java -jar out/kdom-exp.jar UCT_PG_C0_6 FULL_GREEDY 1 0 kdom_exp-20180226-134616-rev-16285e2-cpu-3.20GHz/kdom_exp_UCT_PG_C0_6_vs_FULL_GREEDY_G200_T1_P0.tmp'
# Git Revision: 16285e2
#--------------------------------------------------------------------------------------
#
# win, score, num_players, available_moves(13), available_draft(13), chosen_draft_position(13), playouts_per_second(13), scores(13), score_diff, opponent_scores(3)
1 56 4 4 48 64 30 20 28 24 5 8 5 6 3 2 4 2 4 3 1 2 2 1 2 1 3 1 0 3 1 2 4 3 3 4 3 4 2 4 2 0 99.9 112.7 261.9 416.7 585.9 932.8 1857.6 3362.9 5230.0 16031.6 231425.6 1321398.1 2021390.1 10 11 11 12 18 24 26 39 41 46 48 49 56 5 51 40 39
1 49 4 1 96 16 80 80 108 12 16 4 16 12 4 2 1 4 1 4 4 3 3 2 1 4 3 2 0 1 4 1 1 2 2 3 4 1 2 3 1 0 91.9 107.8 247.5 282.1 486.5 761.9 1123.4 2236.5 4621.9 4862.6 16938.0 849110.7 1594513.2 10 11 13 13 14 14 14 20 24 26 33 42 49 1 43 48 46
-1 32 4 2 96 160 24 75 48 4 32 6 12 3 4 2 2 4 4 2 3 3 1 4 1 4 1 4 0 1 1 3 2 2 4 1 4 1 4 1 1 0 97.4 112.7 157.5 301.9 479.8 847.4 1780.9 2164.6 7868.2 7277.4 351963.0 466352.8 1845987.0 10 10 10 12 12 12 15 15 22 24 32 32 32 -22 54 47 38
-1 60 4 2 48 72 66 50 80 45 48 8 12 9 6 1 2 2 4 3 2 4 3 4 1 2 3 3 0 3 1 2 3 1 2 1 4 3 2 2 4 0 85.7 102.7 128.8 210.5 213.0 441.3 677.4 1158.6 2289.7 9386.8 20505.7 404249.9 2902873.5 10 11 11 11 11 11 16 16 23 31 42 45 60 -2 48 62 49
-1 41 4 3 96 32 104 19 48 30 6 10 16 4 6 1 3 4 2 4 1 3 2 2 1 4 1 3 0 1 3 1 4 2 3 3 4 1 4 2 2 0 82.8 105.7 177.1 247.7 355.6 431.5 1007.8 1840.5 5633.6 5538.8 274097.7 550081.7 1481725.3 10 10 11 11 13 14 18 22 28 29 33 34 41 -24 63 52 65
-1 60 4 1 96 32 90 12 44 42 8 8 14 9 3 2 1 4 2 3 2 2 2 2 4 2 3 1 0 1 3 2 3 3 3 3 1 3 2 4 1 0 80.8 119.3 158.2 213.2 373.0 459.7 1411.8 2351.2 2181.9 6522.9 25731.7 922111.6 1245036.1 10 10 11 11 14 19 26 26 28 37 49 55 60 -3 48 58 63
-1 52 4 3 48 48 80 36 72 10 56 20 6 6 6 2 3 2 3 4 2 4 1 4 2 1 2 3 0 3 2 1 3 1 4 1 3 4 3 2 4 0 82.0 93.3 163.9 242.9 309.9 379.7 806.4 817.8 2126.4 6975.6 105032.0 599122.9 2273217.2 10 11 12 12 16 16 21 21 30 31 37 40 52 -18 70 60 63
-1 24 4 2 24 64 80 21 64 16 18 15 3 4 4 1 2 1 4 4 1 4 2 3 3 1 4 2 0 4 1 1 4 1 3 2 2 4 1 3 1 0 82.5 142.6 193.3 335.7 658.8 753.7 1092.8 1526.7 3197.9 6482.4 8859.3 792509.7 1595554.2 10 10 10 10 16 16 16 16 20 21 21 23 24 -45 69 69 41
-1 58 4 2 72 104 84 72 12 30 57 32 33 2 8 1 2 3 4 3 4 1 2 3 2 3 1 2 0 2 1 2 1 4 3 2 3 2 4 3 3 0 90.8 94.4 166.2 225.8 304.9 543.0 680.0 1572.6 2762.2 6639.2 230095.0 701753.5 1790980.1 10 10 12 12 14 17 18 25 27 36 38 49 58 -20 38 78 55
1 49 4 3 48 48 17 54 69 24 11 32 4 12 4 1 3 2 3 1 3 3 2 1 4 1 3 2 0 3 2 4 2 2 3 4 1 4 2 3 3 0 83.7 114.2 182.8 210.2 413.5 651.1 1521.4 3862.6 4371.6 16295.3 20680.4 728104.8 1643885.3 10 12 13 15 17 22 24 26 28 31 31 37 49 6 32 43 36
