#======================================================================================
# Kingdomino AI Experiment
#--------------------------------------------------------------------------------------
# 
# Player strategy:   UCTW_FG_C1_0_W0_3
# Opponent strategy: FULL_GREEDY
# 
# Max search time: 0.5 (s)
# Max playouts: 0
# Runs: 200
# 
# System: Linux 3.20GHz
# Output file: kdom_exp-20180219-231635-rev-50993b6-cpu-3.20GHz/kdom_exp_UCTW_FG_C1_0_W0_3_vs_FULL_GREEDY_G200_T0.5_P0.dat
# 
# Executing: 'java -jar out/kdom-exp.jar UCTW_FG_C1_0_W0_3 FULL_GREEDY 0.5 0 kdom_exp-20180219-231635-rev-50993b6-cpu-3.20GHz/kdom_exp_UCTW_FG_C1_0_W0_3_vs_FULL_GREEDY_G200_T0.5_P0.tmp'
# Git Revision: 50993b6
#--------------------------------------------------------------------------------------
#
# win, score, num_players, available_moves(13), available_draft(13), chosen_draft_position(13), playouts_per_second(13), scores(13), score_diff, opponent_scores(3)
-1 47 4 1 96 72 30 16 48 15 56 20 3 20 3 1 1 4 4 3 2 3 1 4 2 1 4 1 0 1 1 2 3 2 4 1 3 4 1 4 2 0 13.5 27.2 27.7 56.6 85.6 108.7 284.7 288.8 1183.4 3581.1 4884.2 972234.6 1665582.5 10 11 11 12 15 17 22 26 35 37 38 47 47 -6 53 34 49
-1 53 4 4 96 64 104 81 24 64 72 12 12 12 8 1 4 4 4 4 3 4 4 4 2 2 3 2 0 1 1 1 2 1 1 1 3 3 2 3 3 0 16.9 29.8 30.3 37.9 63.6 88.4 115.7 239.0 869.0 2110.1 7577.1 518477.6 1906064.6 10 10 10 10 11 11 14 14 17 24 33 44 53 -34 87 40 62
-1 40 4 1 96 64 57 60 96 22 16 12 4 2 8 2 1 4 4 3 3 4 2 4 2 1 2 2 0 1 1 2 2 1 3 1 3 4 3 3 4 0 17.6 32.7 30.3 55.6 92.6 123.9 286.3 552.6 1200.8 4762.6 15456.2 364279.9 1732478.7 10 10 10 12 15 17 18 19 28 34 34 37 40 -9 37 49 28
-1 26 4 4 24 48 72 144 16 12 28 12 16 2 3 1 4 1 3 4 4 4 2 2 2 2 2 3 0 4 2 1 1 1 3 3 3 3 3 2 3 0 17.4 23.5 27.4 35.3 54.5 98.8 248.5 469.5 892.9 2497.2 36701.6 408716.0 1499175.5 10 12 12 12 12 12 14 18 19 19 20 26 26 -43 58 64 69
-1 31 4 4 96 64 60 40 22 45 30 18 8 9 4 2 4 4 4 3 4 2 3 3 3 2 3 4 0 1 1 2 1 3 2 2 2 3 2 1 4 0 11.8 23.7 29.3 61.1 77.0 143.5 177.5 420.4 1009.3 3525.4 8066.0 189899.5 1862933.9 10 10 10 13 13 15 15 18 21 21 22 22 31 -56 68 60 87
1 72 4 3 48 66 104 136 54 80 54 26 48 12 10 2 3 2 3 4 4 3 4 3 2 4 2 2 0 3 2 1 1 2 1 2 3 1 3 3 3 0 15.6 27.0 31.7 45.2 56.5 117.5 225.4 383.4 831.5 1617.1 10138.9 445700.7 1613151.6 10 11 13 15 17 21 21 21 26 30 37 50 72 4 45 55 68
-1 48 4 4 24 64 38 69 72 18 48 30 24 2 6 1 4 1 4 2 3 3 1 4 3 3 2 2 0 4 1 3 2 2 4 1 2 2 3 3 4 0 10.0 26.4 35.0 52.7 76.9 95.4 333.4 373.0 723.5 2407.2 19621.9 420207.1 2469606.7 10 12 12 15 20 14 23 23 25 34 34 48 48 -9 35 47 57
-1 41 4 4 96 108 72 24 9 64 36 22 48 12 16 1 4 4 4 4 4 1 4 2 1 3 2 4 0 1 1 1 1 4 1 3 4 2 3 1 3 0 15.1 25.6 25.7 52.1 83.9 175.8 192.4 576.7 1400.0 2039.7 9794.6 147637.0 1994630.3 10 10 11 13 13 14 16 21 28 29 35 35 41 -35 53 76 39
1 67 4 4 48 64 80 81 78 30 30 33 24 9 6 2 4 2 4 4 3 3 2 3 3 4 3 3 0 3 1 1 2 2 3 2 2 1 2 2 3 0 15.1 19.1 28.5 45.4 84.6 119.0 232.0 289.5 735.6 1700.8 20483.7 352441.3 1293473.4 10 11 12 12 16 22 17 19 28 37 47 59 67 12 55 46 40
-1 53 4 2 96 81 136 52 58 22 18 21 12 16 4 1 2 4 3 4 4 2 2 2 3 2 4 2 0 1 2 1 1 3 3 3 2 3 1 3 2 0 13.3 24.5 27.0 41.5 78.6 143.0 243.5 563.1 979.0 4471.7 5325.3 604456.2 1282645.1 10 10 10 10 10 11 13 14 18 26 28 32 53 -5 42 58 54
-1 45 4 3 72 72 40 46 64 10 36 16 5 16 2 1 3 3 4 4 2 4 1 3 4 1 4 2 0 2 1 1 3 1 4 2 1 4 1 3 4 0 18.8 25.2 26.2 41.4 84.4 109.6 266.4 400.7 636.9 3235.5 4057.4 619971.1 2465864.3 10 11 11 11 14 16 21 25 25 32 34 36 45 -27 61 72 49
-1 17 4 2 72 64 72 72 66 88 4 18 12 12 2 1 2 3 4 4 4 3 4 1 3 4 4 2 0 2 1 1 1 2 1 4 2 1 1 3 1 0 15.5 24.1 34.8 47.4 67.2 107.8 147.9 343.0 503.9 691.5 2958.8 637074.9 973134.3 10 10 10 10 10 10 10 11 11 13 17 17 17 -46 42 55 63
-1 50 4 2 72 64 30 24 42 80 56 8 15 10 8 2 2 3 4 3 2 3 4 4 2 3 2 2 0 2 1 2 3 2 1 1 3 2 3 3 3 0 15.8 24.0 26.6 44.4 78.9 106.4 115.0 222.8 939.8 1930.1 7886.6 441992.9 1712206.1 10 11 11 12 14 16 24 27 28 29 29 34 50 -17 48 67 63
-1 46 4 1 72 72 104 78 40 38 3 40 39 27 6 2 1 3 4 4 3 4 2 3 4 3 3 2 0 2 1 1 2 1 3 2 1 2 2 3 3 0 17.2 23.2 27.0 34.8 74.0 107.0 226.5 288.4 544.9 1343.3 3847.7 470780.4 1580637.6 10 11 11 11 11 13 14 14 22 31 42 43 46 -10 42 56 51
-1 22 4 2 96 144 48 13 48 3 4 20 24 4 32 4 2 4 4 4 1 3 3 4 1 3 4 4 0 1 1 1 4 2 2 1 4 2 1 1 4 0 15.6 22.6 23.7 48.8 122.0 151.4 230.3 319.5 806.0 1455.3 2851.4 164215.1 1243636.3 10 10 10 10 13 14 14 14 16 18 18 8 22 -35 35 57 43
-1 36 4 4 48 64 57 84 92 56 22 24 16 16 8 1 4 2 4 3 4 4 4 2 4 4 4 4 0 3 1 2 1 1 1 3 1 1 1 1 4 0 13.0 29.9 33.7 53.2 67.0 129.4 211.5 500.0 631.2 1349.4 4127.9 164011.3 2605727.2 10 11 11 11 12 16 18 19 19 21 27 29 36 -30 66 53 55
-1 34 4 1 96 64 60 88 76 26 72 12 21 4 4 1 1 4 4 3 4 4 2 4 1 3 2 4 0 1 1 2 1 1 3 1 4 2 3 1 2 0 17.6 25.3 23.3 40.7 53.8 98.2 233.2 290.9 1070.4 1626.7 137181.5 396575.0 1445849.6 10 10 10 13 13 18 20 20 28 30 34 34 34 -29 38 63 48
-1 41 4 1 48 144 64 80 32 32 56 40 28 3 8 2 1 2 4 4 4 2 4 4 4 4 1 2 0 3 1 1 1 3 1 1 1 1 4 3 4 0 15.8 24.5 25.5 45.4 77.5 149.5 210.9 295.3 689.8 1452.6 195367.2 541428.6 1917924.5 10 10 10 12 12 13 15 15 16 23 26 33 41 -18 55 47 59
-1 22 4 1 96 124 64 93 96 38 15 9 8 8 1 4 1 4 4 4 3 4 2 3 3 4 4 1 0 1 1 1 2 1 3 2 2 1 1 4 2 0 13.1 21.1 22.0 35.4 66.4 78.1 242.5 459.6 704.0 1665.0 4377.0 787571.1 955599.3 10 10 13 13 13 13 19 19 21 21 21 21 22 -39 61 55 51
-1 39 4 1 96 144 72 44 24 80 4 40 6 4 8 4 1 4 4 4 2 2 4 1 4 2 4 4 0 1 1 1 3 3 1 4 1 3 1 1 3 0 13.6 23.5 25.2 44.9 77.9 125.1 191.5 447.3 473.1 1647.3 3280.8 13972.1 911213.2 10 10 10 10 13 14 17 20 22 29 29 29 39 -29 63 68 45
-1 26 4 4 24 64 120 78 76 76 72 12 8 8 6 1 4 1 4 4 3 4 4 4 2 4 2 2 0 4 1 1 2 1 1 1 3 1 3 3 1 0 15.7 26.7 35.5 40.0 56.3 97.7 201.0 358.4 975.5 1657.3 13265.9 448233.0 1416381.8 10 11 11 11 11 12 12 12 15 19 21 26 26 -28 39 54 42
-1 31 4 1 96 108 112 30 56 40 16 33 48 15 12 1 1 4 4 4 3 4 4 4 3 4 3 3 0 1 1 1 2 1 1 1 2 1 2 2 2 0 15.8 25.4 26.2 43.5 85.9 133.1 206.2 464.5 1054.6 1377.8 5687.3 313640.1 1632641.3 10 10 10 10 12 13 15 15 17 17 24 24 31 -31 62 33 50
